Unique ID,Title,Category,Source,Owner,Status
1,The Sword,About Swords,http://en.wikipedia.org/wiki/Sword,Jacob,Needs editing
2,Kinds of Swords,Types of Swords,http://en.wikipedia.org/wiki/Types_of_swords,Jacob,Needs editing
3,How It's Made,About Swords,http://www.thearma.org/essays/How_Were_Swords_Made.htm,Jacob,Needs editing
4,Origins of the Sword,About Swords,http://en.wikipedia.org/wiki/Sword,Jacob,Needs editing
5,Famous Swords / Wielder,Importance of Swords,http://www.toptenz.net/top-10-famous-deadly-swords.php/2,Jacob,Needs editing
6,Famous Fictional Swords,Importance of Swords,http://www.smashinglists.com/top-14-legendary-swords/2/,Jacob,Needs editing
7,Katana,Types of Swords,http://en.wikipedia.org/wiki/Katana,Jacob,Needs editing
8,Claymore,Types of Swords,http://en.wikipedia.org/wiki/Claymore,Jacob,Needs editing
9,Longsword/ Bastard Sword,Types of Swords,http://en.wikipedia.org/wiki/Longsword,Jacob,Needs editing
10,Gladius,Types of Swords,http://en.wikipedia.org/wiki/Gladius,Jacob,Needs editing
11,Rapier,Types of Swords,http://en.wikipedia.org/wiki/Rapier,Jacob,Needs editing
12,Sabre,Types of Swords,http://en.wikipedia.org/wiki/Sabre,Jacob,Needs editing
13,Swords Today,Importance of Swords,http://www.vincelewis.net/swordsoftoday.html,Jacob,Needs editing
14,Evolution of Swords,About Swords,http://pooleysword.com/en/Evolution_of_Swords,Jacob,Needs editing
15,Sword Ceremonies,Importance of Swords,http://history.howstuffworks.com/historical-figures/knight3.htm,Jacob,Needs editing
,,,,,
,inspiration,,http://www.huffingtonpost.com/greg-voakes/the-amazing-history-of-be_b_1398008.html,,
